Record ID,Date Closed,Due Date,Implementation Phase,Implementation Type,CA ID,Record ID,Target Implementation Date,Status,Lifecycle State,QE ID,URL-Record ID,URL-Record ID
CA-017625,,,,Post-Implementation,CA-017625,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017624,,,,Post-Implementation,CA-017624,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017623,,26-Jul-24,,Post-Implementation,CA-017623,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017622,,02-Aug-24,,Post-Implementation,CA-017622,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017621,,06-Sep-24,,Post-Implementation,CA-017621,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017620,,21-Jun-24,,Post-Implementation,CA-017620,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6004,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017619,,10-Dec-24,Phase 1,Pre-Implementation,CA-017619,QE-007203,31-Dec-24,Active,In Assessment & Plan Building,QE-007203,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X8003
CA-017618,,13-Dec-24,Phase 1,Pre-Implementation,CA-017618,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017617,,06-Dec-24,Phase 1,Pre-Implementation,CA-017617,QE-007202,31-Dec-24,Active,In Pre-Implementation Execution,QE-007202,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7006
CA-017616,,31-Dec-24,,Post-Implementation,CA-017616,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
